index,beer_name,beer_abv,beer_ibu,beer_style
177,Thundermuck Stout,0.0,0,American-Style Stout
178,Solidarity,0.0,0,American-Style Stout
179,5 Czars Imperial Stout,0.0,0,American-Style Stout
180,Oatmeal Stout,6.54,0,American-Style Stout
181,Thunder Stout,4.95,0,American-Style Stout
182,Mortality Stout,7.5,0,American-Style Stout
183,Strom Bomb Stout,7.3,0,American-Style Stout
184,Black Cat Stout,6.15,0,American-Style Stout
185,Old Eight Porter,0.0,0,American-Style Stout
186,Czar Imperial Stout,11.9,0,American-Style Stout
187,Guinness Foreign Extra,6.5,0,American-Style Stout
188,Dragonhead Stout,4.0,0,American-Style Stout
189,Steamroller Stout,6.0,0,American-Style Stout
190,Stout,0.0,0,American-Style Stout
191,Imperial Stout 2003,9.4,0,American-Style Stout
192,Oatmeal Stout,0.0,0,American-Style Stout
193,Irish Stout,0.0,0,American-Style Stout
194,Red Square,0.0,0,American-Style Stout
195,Creamy Stout,0.0,0,American-Style Stout
196,Black Diamond Imperial Porter,0.0,0,American-Style Stout
197,Snake Chaser,0.0,0,American-Style Stout
198,Dark Walnut Stout,0.0,0,American-Style Stout
199,Northwind Imperial Stout,7.5,0,American-Style Stout
200,Imperial Stout,0.0,0,American-Style Stout
201,Porter IV,7.2,0,American-Style Stout
202,Black Strap Stout,6.0,0,American-Style Stout
203,Imperial Stout,0.0,0,American-Style Stout
204,8-Ball Stout,0.0,0,American-Style Stout
205,Milkhouse Stout,0.0,0,American-Style Stout
206,Dry Stout,0.0,0,American-Style Stout
207,Big Swede Swedish-Style Imperial Stout,0.0,0,American-Style Stout
208,Imperial Stout,0.0,0,American-Style Stout
209,Colony Oatmeal Stout,0.0,0,American-Style Stout
210,Classic Oatmeal Stout,0.0,0,American-Style Stout
211,A. LeCoq Imperial Extra Double Stout 2000,9.0,0,American-Style Stout
212,Oatmeal Stout,0.0,0,American-Style Stout
213,Genuine Irish Stout,4.1,0,American-Style Stout
214,Porter,9.5,0,American-Style Stout
215,Hitachino Nest Sweet Stout,3.5,0,American-Style Stout
216,Black Wych Stout,0.0,0,American-Style Stout
217,Sweet Stout,0.0,0,American-Style Stout
218,Bridge Out Stout,0.0,0,American-Style Stout
219,Oatmeal Stout,0.0,0,American-Style Stout
220,Old Krogh Oatmeal Stout,0.0,0,American-Style Stout
221,Oatmeal Stout,0.0,0,American-Style Stout
222,Imperial Stout,9.0,0,American-Style Stout
223,Whitstable Oyster Stout,0.0,0,American-Style Stout
224,Moose Juice Stout,0.0,0,American-Style Stout
225,Deep Shaft Stout,6.2,0,American-Style Stout
226,Stout,0.0,0,American-Style Stout
227,Perfect Stout,4.8,0,American-Style Stout
228,Yorkshire Stout,4.5,0,American-Style Stout
229,Stout,0.0,0,American-Style Stout
230,Stout,0.0,0,American-Style Stout
231,Mudcat Stout,0.0,0,American-Style Stout
232,Imperial Stout 2002,9.47,0,American-Style Stout
233,Stillwater Stout,0.0,0,American-Style Stout
234,Broad Ax Stout,0.0,0,American-Style Stout
235,Chocolate Stout,0.0,0,American-Style Stout
236,Celtic Stout,0.0,0,American-Style Stout
237,Collapsar Oatmeal Stout,0.0,0,American-Style Stout
238,Oatmeal Stout,0.0,0,American-Style Stout
239,Lion Stout,8.0,0,American-Style Stout
240,Steelhead Extra Stout,0.0,0,American-Style Stout
241,Imperial Stout,0.0,0,American-Style Stout
242,4 Reverends Imperial Stout,0.0,0,American-Style Stout
243,Imperial Stout,0.0,0,American-Style Stout
244,Trolleycar Stout,0.0,0,American-Style Stout
245,Trolleycar Stout,0.0,0,American-Style Stout
246,Dempsey Stout,0.0,0.0,American-Style Stout
247,Stout,0.0,0.0,American-Style Stout
248,Locomotive Stout,0.0,0.0,American-Style Stout
249,Blacksmith Stout,0.0,0.0,American-Style Stout
250,Sweeney Stout,0.0,0.0,American-Style Stout
251,Triple Nickel Irish Stout,0.0,0.0,American-Style Stout
252,South Barrington Stout,0.0,0.0,American-Style Stout
253,Stockyard Stout,0.0,0.0,American-Style Stout
254,Dublin Stout,0.0,0.0,American-Style Stout
255,Dublin Stout,6.0,0.0,American-Style Stout
256,Black Jack Stout,0.0,0.0,American-Style Stout
257,Old Market Stout,0.0,0.0,American-Style Stout
258,Oatmeal Stout,0.0,0.0,American-Style Stout
259,Sasquatch Stout,0.0,0.0,American-Style Stout
260,Sir Francis Stout,0.0,0.0,American-Style Stout
261,Imperial Stout,8.0,0.0,American-Style Stout
262,Honest Stout,0.0,0.0,American-Style Stout
263,Klout,0.0,0.0,American-Style Stout
264,Stout,0.0,0.0,American-Style Stout
265,Kickstart Oatmeal Stout,0.0,0.0,American-Style Stout
266,Bourbon Street Stout,0.0,0.0,American-Style Stout
267,Stout of Circumstance,0.0,0.0,American-Style Stout
268,Kona Coffee Stout,0.0,0.0,American-Style Stout
269,XXXXX Stout,0.0,0.0,American-Style Stout
270,Oatmeal Stout,0.0,0.0,American-Style Stout
271,Big Black Stout,0.0,0.0,American-Style Stout
272,Rainbow Trout Stout,0.0,0.0,American-Style Stout
273,Satin Stout,0.0,0.0,American-Style Stout
274,Blackwood Mountain Stout,0.0,0.0,American-Style Stout
275,Stout,0.0,0.0,American-Style Stout
276,Stout,0.0,0.0,American-Style Stout
277,Black Hawk Stout,0.0,0.0,American-Style Stout
278,Total Eclipse Black Ale,5.6,0.0,American-Style Stout
279,Stillwater Stout,0.0,0.0,American-Style Stout
280,Kozlov Stout,0.0,0.0,American-Style Stout
281,Fleishhacker Stout,0.0,0.0,American-Style Stout
282,Stout,0.0,0.0,American-Style Stout
283,Nitro Stout,0.0,0.0,American-Style Stout
284,Stout,0.0,0.0,American-Style Stout
285,Stout,0.0,0.0,American-Style Stout
286,Bumbucha Stout,0.0,0.0,American-Style Stout
287,Double Black Stout,0.0,0.0,American-Style Stout
288,Stout,0.0,0.0,American-Style Stout
289,No Doubt Stout,0.0,0.0,American-Style Stout
290,Stout,0.0,0.0,American-Style Stout
291,Old Australia Stout,0.0,0.0,American-Style Stout
292,Obsidian Stout,6.4,0.0,American-Style Stout
293,Classic Stout,0.0,0.0,American-Style Stout
294,Buckeye Oatmeal Stout,0.0,0.0,American-Style Stout
295,Over The Line Stout,0.0,0.0,American-Style Stout
296,Hart Espresso Stout,5.6,0.0,American-Style Stout
297,Rainbow Trout Stout,0.0,0.0,American-Style Stout
298,Good Life Stout,0.0,0.0,American-Style Stout
299,Oatmeal Stout,6.8,0.0,American-Style Stout
300,Susquehanna Stout,4.6,0.0,American-Style Stout
301,Black Mo Stout,4.6,0.0,American-Style Stout
302,Lancaster Milk Stout,5.3,0.0,American-Style Stout
303,Baltic Thunder,8.5,0.0,American-Style Stout
304,Oyster Point Oyster Stout,5.9,0.0,American-Style Stout
305,563 Stout,5.0,0.0,American-Style Stout
306,Chicory Stout,5.2,0.0,American-Style Stout
307,Blackstone Stout,4.4,0.0,American-Style Stout
308,Samuel Adams Cream Stout,0.0,0.0,American-Style Stout
309,Obamagang Inauguration Ale,0.0,0.0,American-Style Stout
310,Long Island Potato Stout,3.9,0.0,American-Style Stout
311,Samson Stout,5.0,0.0,American-Style Stout
312,Black Cat Stout,6.0,0.0,American-Style Stout
313,Belle Gunness Stout,5.0,0.0,American-Style Stout
314,Standing Stone Nitro Stout,0.0,0.0,American-Style Stout
315,Guinness 250th Anniversary Stout,5.0,0.0,American-Style Stout
316,Strike Out Stout,4.6,0.0,American-Style Stout
317,Pine Tar Stout,0.0,0.0,American-Style Stout
318,Oak Barrel Stout,5.2,0.0,American-Style Stout
319,Creme Brulee Java Stout,5.8,0.0,American-Style Stout
320,Java Head Stout,7.5,0.0,American-Style Stout
321,Manheim Stout,0.0,0.0,American-Style Stout
322,Scratch #27 2010 Cocaoabunga,6.7,0.0,American-Style Stout
323,Buried Hatchet Stout,8.25,0.0,American-Style Stout
324,Tres Blueberry Stout,4.5,0.0,American-Style Stout
325,Fore Smoked Stout,0.0,0.0,American-Style Stout
326,Dundee Stout,5.8,0.0,American-Style Stout
327,Ise Kadoya Stout,5.0,0.0,American-Style Stout
328,Coffee Stout,5.7,30.0,American-Style Stout
329,Onward Stout,3.8,35.0,American-Style Stout
330,The Kidd Lager,0.0,0,German-Style Schwarzbier
331,Schwarzbier / Dunkel,4.9,0,German-Style Schwarzbier
332,Jack of Spades Schwarzbier,3.9,0,German-Style Schwarzbier
333,Eisenbahn Escura,0.0,0,German-Style Schwarzbier
334,Schwarzbier,4.3,0,German-Style Schwarzbier
335,MÃ¶nchshof Premium Schwarzbier,4.9,0,German-Style Schwarzbier
336,Schwarzbier,5.3,0,German-Style Schwarzbier
337,Schwarze,0.0,0,German-Style Schwarzbier
338,Herbstbier,0.0,0,German-Style Schwarzbier
339,Xingu,4.7,0,German-Style Schwarzbier
340,Negra,5.4,0,German-Style Schwarzbier
341,Porter,5.8,0,German-Style Schwarzbier
342,Original Badebier / Original Bathbeer Monastery Fun,0.0,0,German-Style Schwarzbier
343,Schwarzbier,4.8,0,German-Style Schwarzbier
344,Meranier Schwarzbier,0.0,0,German-Style Schwarzbier
345,Bamberger SchwÃ¤rzla,0.0,0,German-Style Schwarzbier
346,Black Bavarian Lager,5.86,0,German-Style Schwarzbier
347,Dark Lager,0.0,0,German-Style Schwarzbier
348,Black Abbot / Schwarzer Abt,3.9,0,German-Style Schwarzbier
349,Blackforest Lager,0.0,0,German-Style Schwarzbier
350,Schwarzbier,0.0,0,German-Style Schwarzbier
351,Brockton Black Lager,6.5,0.0,German-Style Schwarzbier
352,Dark Satin,0.0,0.0,German-Style Schwarzbier
353,Black Lava Lager,0.0,0.0,German-Style Schwarzbier
354,Imported Black Stout Draft,0.0,0.0,German-Style Schwarzbier
355,Samuel Adams Black Lager,4.9,0.0,German-Style Schwarzbier
356,Black Betty Schwartzbier,5.0,0.0,German-Style Schwarzbier
357,Zeno Black Lager,0.0,0.0,German-Style Schwarzbier
358,Elm City Schwarzbier,5.3,0.0,German-Style Schwarzbier
359,Duck-Rabbit Schwarzbier,5.8,0.0,German-Style Schwarzbier
360,Wiesen Edel Weisse,6.2,0,South German-Style Hefeweizen
361,Weizengold Hefefein,5.1,0,South German-Style Hefeweizen
362,JÃ¶rger WeiÃŸe Hell,0.0,0,South German-Style Hefeweizen
363,EOS Hefeweizen,0.0,0,South German-Style Hefeweizen
364,Shiner Hefeweizen,5.4,0,South German-Style Hefeweizen
365,Sandy Beach Blonde Hefeweizen,4.5,0,South German-Style Hefeweizen
366,Hefeweizen,5.6,0,South German-Style Hefeweizen
367,Harvest Hefeweizen,4.9,0,South German-Style Hefeweizen
368,Hefe Weizen,0.0,0,South German-Style Hefeweizen
369,Ur-Weisse,0.0,0,South German-Style Hefeweizen
370,Weisse,4.9,0,South German-Style Hefeweizen
371,WeiÃŸe,0.0,0,South German-Style Hefeweizen
372,See-Weizen Bio-Hefeweizen,0.0,0,South German-Style Hefeweizen
373,Weizen,0.0,0,South German-Style Hefeweizen
374,LÃ¶wen Weisse,0.0,0,South German-Style Hefeweizen
375,Weizentrumpf,5.5,0,South German-Style Hefeweizen
376,Weizen,5.0,0,South German-Style Hefeweizen
377,Weizenbier,0.0,0,South German-Style Hefeweizen
378,Ur-Weizen,5.0,0,South German-Style Hefeweizen
379,Hefe-Weizen,5.2,0,South German-Style Hefeweizen
380,Edelweiss,0.0,0,South German-Style Hefeweizen
381,Hefeweizen,0.0,0,South German-Style Hefeweizen
382,Hefe Weizen Hell,0.0,0,South German-Style Hefeweizen
383,Weizen,0.0,0,South German-Style Hefeweizen
384,Hefeweizen,0.0,0,South German-Style Hefeweizen
385,Haupenthal Hefeweizen,4.8,0,South German-Style Hefeweizen
386,Hefe-Weizen,5.8,0,South German-Style Hefeweizen
387,Hefeweizen,4.3,0,South German-Style Hefeweizen
388,Hefe-Weizen,5.2,0,South German-Style Hefeweizen
389,Tin Lizzie Hefeweizen,5.5,0,South German-Style Hefeweizen
390,Baltas Alus,5.2,0,South German-Style Hefeweizen
391,El Jefe Weizen Ale,0.0,0,South German-Style Hefeweizen
392,Hefe-Weizen Hell,0.0,0,South German-Style Hefeweizen
393,Royal Weisse,5.7,0,South German-Style Hefeweizen
394,Weizen,0.0,0,South German-Style Hefeweizen
395,Hazy Daze Hefeweizen,5.5,0,South German-Style Hefeweizen
396,Wheat,0.0,0,South German-Style Hefeweizen
397,Sweet Spot Hefe,5.5,0,South German-Style Hefeweizen
398,BrÃ¤u-Weisse,0.0,0,South German-Style Hefeweizen
399,Bavarian-Weissbier Hefeweisse / Weisser Hirsch,5.2,0,South German-Style Hefeweizen
400,"Triple \H\""""",0.0,0,South German-Style Hefeweizen
401,Saranac Hefeweizen,5.6,0,South German-Style Hefeweizen
402,Hefeweizen,0.0,0,South German-Style Hefeweizen
403,Top Heavy Hefeweizen,0.0,0,South German-Style Hefeweizen
404,Malteser Weissbier,5.0,0,South German-Style Hefeweizen
405,Weissbier Hell,5.2,0,South German-Style Hefeweizen
406,Weiss Beer,0.0,0,South German-Style Hefeweizen
407,KÃ¶nig Ludwig Weissbier Hell,0.0,0,South German-Style Hefeweizen
408,Kapuziner WeiÃŸbier,0.0,0,South German-Style Hefeweizen
409,Stationsweizen,0.0,0,South German-Style Hefeweizen
410,Kristall Weissbier,5.4,0,South German-Style Hefeweizen
411,Franziskaner Hefe-Weissbier Hell  / Franziskaner Club-Weiss,5.0,0,South German-Style Hefeweizen
412,WeiÃŸbier Mit Feiner Hefe,0.0,0,South German-Style Hefeweizen
413,Weissbier,0.0,0,South German-Style Hefeweizen
414,Weizen,0.0,0,South German-Style Hefeweizen
415,HefeweiÃŸbier,0.0,0,South German-Style Hefeweizen
416,Weissbier,4.8,0,South German-Style Hefeweizen
417,Weizla Hell,5.0,0,South German-Style Hefeweizen
418,Eine Bamberger Weisse Hell,5.2,0,South German-Style Hefeweizen
419,MÃ¼nchner Kindl Weissbier / MÃ¼nchner Weisse,0.0,0,South German-Style Hefeweizen
420,Hefe Weiss,4.2,0,South German-Style Hefeweizen
421,Crop Circle Wheat,0.0,0,South German-Style Hefeweizen
422,Hacker-Pschorr Weisse,0.0,0,South German-Style Hefeweizen
423,Weizen,0.0,0,South German-Style Hefeweizen
424,Weissbier,5.0,0,South German-Style Hefeweizen
425,Weizen,0.0,0,South German-Style Hefeweizen
426,Hefeweizen,4.2,0,South German-Style Hefeweizen
427,Hefe-WeiÃŸbier,0.0,0,South German-Style Hefeweizen
428,Heifer-Weizen,0.0,0,South German-Style Hefeweizen
429,Kristall Weiss,0.0,0,South German-Style Hefeweizen
430,Helles Hefe Weizen,5.3,0,South German-Style Hefeweizen
431,Winnebago Wheat,0.0,0,South German-Style Hefeweizen
432,Whistle Stop Weiss Beer,0.0,0.0,South German-Style Hefeweizen
433,Berghoff Hefeweizen,0.0,0.0,South German-Style Hefeweizen
434,Hefe Weissbier,5.4,0.0,South German-Style Hefeweizen
435,Hefe-Weizen,4.7,0.0,South German-Style Hefeweizen
436,Weisen,0.0,0.0,South German-Style Hefeweizen
437,Weisse Hefe-Weizen,5.4,0.0,South German-Style Hefeweizen
438,Bavarian Weiss,0.0,0.0,South German-Style Hefeweizen
439,Heartland Hefeweizen,0.0,0.0,South German-Style Hefeweizen
440,Windmill Wheat Ale,0.0,0.0,South German-Style Hefeweizen
441,Bavarian Wheat,0.0,0.0,South German-Style Hefeweizen
442,Hefeweizen,0.0,0.0,South German-Style Hefeweizen
443,Hefe Weizen,0.0,0.0,South German-Style Hefeweizen
444,Thomas Kemper HefeWeizen,0.0,0.0,South German-Style Hefeweizen
445,Hefe Weizen,0.0,0.0,South German-Style Hefeweizen
446,Edelweiss HefetrÃ¼b,0.0,0.0,South German-Style Hefeweizen
447,Hefeweizen,0.0,0.0,South German-Style Hefeweizen
448,Windmill Wheat Ale,0.0,0.0,South German-Style Hefeweizen
449,In-Heat Wheat,4.7,0.0,South German-Style Hefeweizen
450,Hinterland Hefe Weizen,5.3,0.0,South German-Style Hefeweizen
451,Sunrise Weissbier,5.7,0.0,South German-Style Hefeweizen
452,Penn Weizen,4.0,0.0,South German-Style Hefeweizen
453,Lancaster Hefe Weizen,6.0,0.0,South German-Style Hefeweizen
454,Dry Heat Hefeweizen,0.0,0.0,South German-Style Hefeweizen
455,Hefeweizen,5.0,0.0,South German-Style Hefeweizen
456,Samuel Adams Hefeweizen,0.0,0.0,South German-Style Hefeweizen
457,Organic Hefewizen,0.0,0.0,South German-Style Hefeweizen
458,Konig Ludwig Weissbier,5.5,0.0,South German-Style Hefeweizen
459,Horseshoe Hefeweizen,4.5,0.0,South German-Style Hefeweizen
460,Heffevonom Bavarian Wheat,0.0,0.0,South German-Style Hefeweizen
461,Wheatley Hills Weizenbock,7.5,0.0,South German-Style Hefeweizen
462,Harborfields HefeWeizen,4.5,0.0,South German-Style Hefeweizen
463,Live Oak Hefeweizen,0.0,0.0,South German-Style Hefeweizen
464,The Livery Hefe Weizen,5.0,0.0,South German-Style Hefeweizen
465,Sierra Nevada Kellerweis,0.0,0.0,South German-Style Hefeweizen
466,Hopfen Weisse,8.2,0.0,South German-Style Hefeweizen
467,Drunk Monk Hefeweizen,4.8,0.0,South German-Style Hefeweizen
468,Standing Stone Hefeweizen,0.0,0.0,South German-Style Hefeweizen
469,Tailgate Hefeweizen,5.0,0.0,South German-Style Hefeweizen
470,Golf,5.0,0.0,South German-Style Hefeweizen
471,Wild Frog Wheat,6.0,0.0,South German-Style Hefeweizen
472,Hefeweizen,5.0,13.0,South German-Style Hefeweizen
473,Cow Palace Scotch Ale 1998,8.7,0,Scotch Ale
474,Robert the Bruce Scottish Ale,7.0,0,Scotch Ale
